DocumentCopyID,DocumentCopyPropertyValue
68650,ANCAMINE 2280 Curing Agent
68653,ANCAMINE 2500 Curing Agent
68654,ANCAMINE 2512 Hardener
68657,ANCAMINE 2320 Curing Agent
68658,ANCAMINE 2089M Curing Agent
68663,ANCAMINE 2432 Curing Agent
68665,ANCAMINE 2405 Curing Agent
68698,ANCAMINE K54 Curing Agent
68700,DABCO TMR-30 Catalyst
68705,Halocarbon 116
68719,ANCAMINE 2519 Hardener
68724,Deuterium
68725,Carbon Dioxide
68726,Argon (Refrigerated)
68727,BREATHING AIR
68737,Hydrogen bromide
68739,Hydrogen (Refrigerated)
68742,Hydrogen sulphide
68743,Krypton
68760,Ethylene
68761,Helium
68763,Hydrogen
68775,FERROMAXX 15
68780,FRESHLINE Carbon Dioxide
68781,TOPGAS CARBON DIOXIDE
68782,Carbon monoxide
68783,Chlorine
68785,INOMAXX PLUS
68786,ALUMAXX PLUS
68790,Nitrogen (Refrigerated)
68792,Halocarbon 318
68794,FERROMAXX PLUS
68797,Argon
68799,SYNTHETIC AIR
68800,Methane
68802,NATURAL GAS
68804,FRESHLINE Nitrogen
68807,Nitrogen
68809,Halocarbon 14
68812,Tetrafluoromethane
68813,Halocarbon 23
68822,FRESHLINE Carbon Dioxide Liquid
68830,Halocarbon 404A
68840,FRESHLINE 60%CO2 IN N2
68847,Propane
68849,Propylene
68851,APACHI
68855,Halocarbon 134A
68867,FERROMAXX 7
68868,INOMAXX 2
68876,WELDAP 20
68877,INOMAXX TIG
68886,FRESHLINE 30
68887,FRESHLINE 30%CO2 IN N2
68888,TOPGAS 30
68891,FRESHLINE 30%CO2 IN O2
68893,FRESHLINE 50%CO2 IN N2
68894,TOPGAS 50
68895,OXYNOX
68896,TOPGAS 60
68941,Halocarbon 417A
68947,FRESHLINE NITROGEN GAS MIXTURE
68948,"FRESHLINE 40%CO2, 30%O2 IN N2"
68952,FRESHLINE 40%CO2 IN N2
68953,FRESHLINE 35%CO2 IN N2
68955,"FRESHLINE 10%CO2, 5%O2 IN N2"
68963,FRESHLINE 20%CO2 IN O2
68966,FRESHLINE 25%CO2 IN O2
68984,EPILINK 660 Curing Agent
69019,INOMAXX PLUS
69020,ALUMAXX PLUS
69023,Azote
69038,Gaz naturel
69041,Argon
69042,ASTEC 30
69045,APACHI
69049,AIR SYNTHETIQUE
69051,AIR COMPRIME
69052,Dioxyde de carbone
69069,AIR
69080,Dioxyde de carbone
69082,Protoxyde d'azote
69089,FRESHLINE Nitrogen
69090,FRESHLINE Oxygen
69092,FRESHLINE Carbon Dioxide
69096,INOMAXX 2
69097,FERROMAXX 7
69099,PROTEC 5
69100,WELDAP 8
69101,WELDAP 20
69103,ARGAZ 18
69108,FRESHLINE 30%CO2 IN N2
69109,PRODARC 2
69113,WELDAP 15
69120,AIR COMPRIME
69128,FERROMAXX 15
69143,SYNTHETIC AIR
69151,"Zuurstof, sterk gekoeld, vloeibaar"
69152,Argon
69154,Koolstofdioxyde
69161,"Koolstofdioxyde, sterk gekoeld, vloeibaar"
69167,Ademlucht
69168,Koolstofdioxyde
69171,FERROMAXX 15
69174,ASTEC S12
69175,Tetrafluormethaan
69178,Halocarbon 14
69185,"Zuurstof, sterk gekoeld, vloeibaar"
69186,Zuurstof
69188,APACHI
69189,Propyleen
